Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,60168,55018,846,11567,1828,2532,1560,3502,1066,1095,663,14194,3109,3,3,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,60717,55733,866,11961,1941,2565,1530,3706,1035,1093,669,13905,3185,0,0,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,59357,54521,830,11703,1819,2490,1486,3525,993,1123,646,13587,3257,3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,59148,54406,829,11880,1861,2516,1488,3397,978,1109,688,13602,3181,1,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,58815,54004,812,11961,1827,2477,1418,3312,980,1072,656,13456,3080,0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,59451,54400,812,11707,1954,2512,1463,3412,973,1136,643,13990,3054,2,1,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,58807,53969,799,11809,1842,2535,1515,3479,978,1070,650,13639,3084,0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,58883,53990,782,11780,1877,2515,1462,3452,967,1056,653,13622,3082,5,5,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,59306,54301,819,11792,1829,2519,1507,3456,1010,1092,717,13699,3122,10,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,59677,54386,812,11714,1859,2508,1609,3467,1004,1072,702,13674,3093,36,32,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,58683,53547,759,11573,1741,2438,1638,3387,991,1077,701,13436,3163,57,53,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,59195,54304,843,11740,1831,2511,1748,3382,1018,1104,672,13179,3063,575,538,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,62991,58222,855,11781,2043,2746,1796,3517,1064,1030,684,13697,3062,3177,3001,,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,72277,67441,951,11595,2297,2868,1868,3537,1031,1036,762,14940,3162,10077,9584,,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,79071,74003,837,11554,2353,2961,1635,3447,1027,1123,724,15756,3190,16250,15444,,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,76793,71902,750,11201,2268,2901,1257,3193,929,1097,733,14579,3204,17113,16218,,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,73890,68761,740,11362,2084,2803,1156,2996,892,986,746,13869,3057,15491,14604,,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,69280,63958,744,11098,1930,2727,1016,2925,853,962,630,12997,3041,13188,12404,,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,66788,61181,722,11011,1968,2494,866,2802,864,939,668,13164,2850,11212,10437,,,,,,,,,,,,,,,
United States,2020,20,2020-05-16,64464,59013,682,11268,1964,2431,865,2770,789,978,642,12736,2958,9199,8454,,,,,,,,,,,,,,,
United States,2020,21,2020-05-23,61601,56030,716,11115,1833,2417,808,2679,750,921,656,12769,2822,7215,6559,,,,,,,,,,,,,,,
United States,2020,22,2020-05-30,59650,54011,655,10905,1810,2262,758,2635,761,892,662,12443,2852,6152,5570,,,,,,,,,,,,,,,
United States,2020,23,2020-06-06,58859,52953,734,11080,1722,2301,707,2562,779,905,647,12460,2789,5025,4488,,,,,,,,,,,,,,,
United States,2020,24,2020-06-13,58001,52310,693,11130,1739,2327,701,2502,737,926,685,12397,2839,4221,3716,,,,,,,,,,,,,,,
United States,2020,25,2020-06-20,57963,52249,685,11154,1787,2359,755,2561,765,932,732,12383,2920,3827,3341,,,,,,,,,,,,,,,
United States,2020,26,2020-06-27,58473,52674,723,11357,1766,2286,727,2537,774,952,679,12507,2954,3815,3306,,,,,,,,,,,,,,,
United States,2020,27,2020-07-04,59773,53825,687,11298,1926,2352,659,2622,781,985,719,12843,2828,4523,4028,,,,,,,,,,,,,,,
United States,2020,28,2020-07-11,61890,55899,766,11322,1949,2466,739,2612,753,919,820,13003,2919,5756,5212,,,,,,,,,,,,,,,
United States,2020,29,2020-07-18,63136,57226,714,11372,1886,2497,768,2646,711,987,837,12856,2982,7164,6503,,,,,,,,,,,,,,,
United States,2020,30,2020-07-25,64190,58448,692,11554,1954,2508,785,2558,730,968,836,12913,2909,8201,7481,,,,,,,,,,,,,,,
United States,2020,31,2020-08-01,64164,58337,694,11509,1983,2496,761,2730,781,961,826,12792,2987,8274,7587,,,,,,,,,,,,,,,
